Address,Name,Is delegator,Avatar,Space,Ens name,Follow Count,Follows Space,Total Votes,Proposal Interaction,Proposal Interaction In Space,Proposal Interaction outside of Space,Total NFT`s,Total Rewards NFT`s,User is delegator,Cluster
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,,0.0,,aave.eth,aavechan.eth,-0.25320762298826643,0.7529144948596346,109.41949606551728,3.3928811314793927,5.183603927425611,2.1948566676971613,-1.0410757894398528,-0.33857064130952,0.0,2
0xB83b3e9C8E3393889Afb272D354A7a3Bd1Fbcf5C,,0.0,,aave.eth,lbsblockchain.eth,-1.0632274207386152,0.7529144948596346,47.89676290239715,0.6461967197992735,3.4700278299325795,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,2
0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,,0.0,,aave.eth,michiganblockchain.eth,-0.928224121113557,0.7529144948596346,25.094476979784897,0.3819384527863174,1.3756570441077633,-0.10772987679978381,-1.092467940529827,-0.33857064130952,0.0,0
0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,,0.0,,aave.eth,wintermutegovernance.eth,1.0968253732623146,0.7529144948596346,20.412551196425962,1.631159351393019,2.684638785248273,0.9689425352103618,0.08955153453958217,-0.33857064130952,0.0,1
0x55B16934C3661E1990939bC57322554d9B09f262,Llama Proposal Power,0.0,ipfs://bafkreidlvzco3qpbpwir5xmln4zygbyxtcfixnh2iyutbbpkjwac24wdja,aave.eth,,-0.928224121113557,0.7529144948596346,11.989415686998774,-0.3707972168869515,0.44746999129903814,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,0.0,,aave.eth,,-1.1982307203636733,-1.3281720657887315,10.065945672899995,-0.5629850474418286,-0.12372204119863896,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,0.0,,aave.eth,aave.standard-crypto.eth,-1.0632274207386152,0.7529144948596346,9.743932733767,-0.6270476576267877,-0.3141193853645313,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,0.0,,aave.eth,defimaximalist.eth,0.15180227588690787,0.7529144948596346,9.10186826069076,0.678228024891753,-0.5521160655718967,1.1501646243605843,-1.092467940529827,-0.33857064130952,0.0,4
0xdC1F98682F4F8a5c6d54F345F448437b83f5E432,,0.0,,aave.eth,blockchaincolumbia.eth,0.15180227588690787,0.7529144948596346,7.78939835164124,-0.2987267804288725,-0.21892071328158513,-0.2996120888411959,-1.092467940529827,-0.33857064130952,0.0,4
0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,0.0,,aave.eth,,-1.0632274207386152,-1.3281720657887315,4.031494501181623,0.6221732409799139,-0.6235150696341064,1.107524132795826,-1.092467940529827,-0.33857064130952,0.0,0
0x16645967f660AC05EA542D3DE2f46E41b86436d9,Balancer. Delegate,0.0,ipfs://bafkreidzru3o365mw3bnpqw7ecxyxunfrmygnlxivsywodxhdtrys2o3ui,aave.eth,,-0.7932208214884989,0.7529144948596346,3.9076724993942427,-0.2506798227901533,0.8044650116100863,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0x732a4B05C31da514e30411d79E3E17624579B848,,0.0,,aave.eth,lucasvo.eth,-1.1982307203636733,-1.3281720657887315,3.724942972732744,-0.6590789627192672,-0.4093180574474775,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0xdd45542cCf17A16F5c515c20db7F7C7D8bB74Cc5,,0.0,,aave.eth,,-1.1982307203636733,-1.3281720657887315,3.384879814069049,-0.6831024415386269,-0.4807170615096871,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0xea172676E4105e92Cc52DBf45fD93b274eC96676,,0.0,,aave.eth,stablelab.eth,0.8268187740121984,0.7529144948596346,2.8065073777958287,1.487018478476861,3.4700278299325795,0.42527626775969424,-0.9896836383498784,-0.33857064130952,0.0,4
0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,0.0,,aave.eth,llamagov.eth,-1.0632274207386152,0.7529144948596346,2.25078820905142,-0.4989224372568696,-0.07612270515716586,-0.6300758984680723,-1.092467940529827,-0.33857064130952,0.0,0
